e- donor,E_std_donor_mV,e- acceptor,E_std_acceptor_mV,dG_std_kJ_per_mol,overall_reaction,metabolism,category
Glucose,-430,O2/H2O,+818,-2870,C6H12O6 + 6 O2 → 6 CO2 + 6 H2O (n=24),Aerobic respiration,Respiration
H2,-414,NO3-/N2,+751,≈-1120,5 H2 + 2 NO3- + 2 H+ → N2 + 6 H2O (n=10),Denitrification,Respiration
H2,-414,Fe(OH)3/Fe2+,-100 to +100,-61 to -99,H2 + 2 Fe(OH)3 + 4 H+ → 2 Fe2+ + 6 H2O (n=2),Iron reduction,Respiration
H2,-414,SO42-/HS-,-217,-152,4 H2 + SO42- + H+ → HS- + 4 H2O (n=8),Sulfate reduction,Respiration
H2,-414,CO2/CH4,-244,-131,4 H2 + CO2 → CH4 + 2 H2O (n=8),H2 methanogenesis,Respiration
Acetate,-290,CO2/CH4,-244,-31,CH3COO- + H2O → CH4 + HCO3- (n=8),Acetoclastic methanogenesis,Respiration
CH4,-244,SO42-/HS-,-217,-17,CH4 + SO42- → HCO3- + HS- + H2O (n=8),Anaerobic oxidation of methane,Respiration
Glucose,n/a,H+/acetate,n/a,-311,C6H12O6 → 3 CH3COO- + 3 H+,Homoacetic fermentation§,Primary fermentation
Glucose,n/a,H+/ethanol,n/a,-226,C6H12O6 + 2 H2O → 2 C2H5OH + 2 HCO3- + 2 H+,Ethanol fermentation§,Primary fermentation
Glucose,n/a,H+/butyrate,n/a,-215,C6H12O6 + 2 H2O → C4H7O2- + 2 HCO3- + 3 H+ + 2 H2,Butyric acid fermentation§,Primary fermentation
Glucose,n/a,H+/lactate,n/a,-198,C6H12O6 → 2 C3H5O3- + 2 H+,Lactic acid fermentation§,Primary fermentation
Propionate,n/a,H+,n/a,+76,C3H5O2- + 3 H2O → CH3COO- + HCO3- + H+ + 3 H2,Propionate oxidation§ (syntrophic),Secondary fermentation
Butyrate,n/a,H+,n/a,+48,C4H7O2- + 2 H2O → 2 CH3COO- + H+ + 2 H2,Butyrate oxidation§ (syntrophic),Secondary fermentation
Ethanol,n/a,H+,n/a,+10,C2H5OH + H2O → CH3COO- + H+ + 2 H2,Ethanol oxidation§ (syntrophic),Secondary fermentation
H2S,-270,CO2 (via NADP+),-324,n/a†,2 H2S + CO2 → CH2O + 2 S0 + H2O (hν),Anoxygenic photosynthesis†,Photosynthesis (light-driven)
H2O,+818,CO2 (via NADP+),-324,n/a†,H2O + CO2 → CH2O + O2 (hν),Oxygenic photosynthesis†,Photosynthesis (light-driven)
