id,label,color,E_std_mV,col,notes
o2,O2 / H2O,#E65100,+816,0,Aerobic
no3n2,NO3 / N2,#558B2F,+750,0,Aerobic
no3no2,NO3 / NO2,#827717,+430,0,Aerobic
glc,CO2 / Glc,#1565C0,-430,0,Aerobic
no3nh4,NO3 / NH4+,#00838F,+360,1,Anaerobic respiration
fe,Fe(III)/Fe(II),#8D6E63,-100,1,Anaerobic respiration (was ~-396 mV with hardcoded [Fe]=1e-5)
hs,SO4 / HS-,#6A1B9A,-217,1,Anaerobic respiration
ch4,CO2 / CH4,#2E7D32,-244,1,Anaerobic respiration
crotbut,CrCoA/ButCoA,#FF7043,-10,2,Fermentation (used only by chain elongation)
pyrlac,Pyr / Lac,#AD1457,-185,2,Fermentation
etoh,AcAld / EtOH,#00695C,-197,2,Fermentation
co2ac,CO2 / Ac-,#B71C1C,-290,2,Fermentation
co2but,CO2 / But-,#6200EA,-280,2,Fermentation
prop,CO2 / Prop-,#F9A825,-282,3,Syntrophic/C1
nad,NAD+ / NADH,#6D4C41,-320,3,Syntrophic/C1
h2,H+ / H2,#37474F,-414,3,Syntrophic/C1
